fts_cohort,fts_sub_consolidated,free_trial_fts,non_uploader,fts_refund_chargeback,renewal_refund_chargeback,renewal_gross,fts_gross,fts_net,renewal_net,net_gross_retention,net_net_retention,gross_gross_retention,gross_net_retention,predicted_retention
2020-01-01,plus yearly,0,1,206,80.0,1958.0,2635,2429.0,1878.0,0.7127134724857686,0.7731576780568135,0.7430740037950664,0.8060930424042816,0
2020-01-01,plus yearly,1,0,3,3.0,92.0,121,118.0,89.0,0.7355371900826446,0.7542372881355932,0.7603305785123967,0.7796610169491526,0
2020-01-01,plus yearly,1,1,735,144.0,2835.0,5402,4667.0,2691.0,0.49814883376527214,0.5766016713091922,0.5248056275453535,0.6074566102421256,0
2020-01-01,premium yearly,0,0,19,8.0,122.0,168,149.0,114.0,0.6785714285714286,0.7651006711409396,0.7261904761904762,0.8187919463087249,0
2020-01-01,premium yearly,0,1,25,5.0,104.0,155,130.0,99.0,0.6387096774193548,0.7615384615384615,0.6709677419354839,0.8,0
2020-01-01,pro,0,0,78,46.0,1144.0,1486,1408.0,1098.0,0.7388963660834454,0.7798295454545454,0.7698519515477793,0.8125,0
2020-01-01,pro,0,1,90,28.0,693.0,934,844.0,665.0,0.7119914346895075,0.7879146919431279,0.7419700214132763,0.8210900473933649,0
2020-01-01,pro,1,0,1,2.0,44.0,62,61.0,42.0,0.6774193548387096,0.6885245901639344,0.7096774193548387,0.7213114754098361,0
2020-01-01,pro,1,1,146,26.0,570.0,910,764.0,544.0,0.5978021978021978,0.7120418848167539,0.6263736263736264,0.7460732984293194,0
2020-02-01,business,0,0,19,6.0,187.0,226,207.0,181.0,0.8008849557522124,0.8743961352657005,0.827433628318584,0.9033816425120773,0
2020-02-01,business,0,1,14,7.0,124.0,154,140.0,117.0,0.7597402597402597,0.8357142857142857,0.8051948051948052,0.8857142857142857,0
2020-02-01,business,1,0,1,1.0,23.0,25,24.0,22.0,0.88,0.9166666666666666,0.92,0.9583333333333334,0
2020-02-01,business,1,1,44,6.0,158.0,240,196.0,152.0,0.6333333333333333,0.7755102040816326,0.6583333333333333,0.8061224489795918,0
2020-02-01,other,0,0,2,1.0,24.0,30,28.0,23.0,0.7666666666666667,0.8214285714285714,0.8,0.8571428571428571,0
2020-02-01,other,0,1,5,0.0,27.0,43,38.0,27.0,0.627906976744186,0.7105263157894737,0.627906976744186,0.7105263157894737,0
2020-02-01,other,1,0,0,0.0,0.0,10,10.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-01,other,1,1,3,0.0,6.0,55,52.0,6.0,0.10909090909090909,0.11538461538461539,0.10909090909090909,0.11538461538461539,0
2020-02-01,plus yearly,0,0,136,111.0,4200.0,5305,5169.0,4089.0,0.7707822808671065,0.7910621009866512,0.7917059377945335,0.812536273940801,0
2020-02-01,plus yearly,0,1,216,52.0,1845.0,2540,2324.0,1793.0,0.7059055118110236,0.7715146299483648,0.7263779527559056,0.7938898450946644,0
2020-02-01,plus yearly,1,0,4,3.0,87.0,122,118.0,84.0,0.6885245901639344,0.711864406779661,0.7131147540983607,0.7372881355932204,0
2020-02-01,plus yearly,1,1,798,153.0,2998.0,5509,4711.0,2845.0,0.5164276638228353,0.6039057524941626,0.5442003993465239,0.6363829335597537,0
2020-02-01,premium yearly,0,0,20,13.0,137.0,196,176.0,124.0,0.6326530612244898,0.7045454545454546,0.6989795918367347,0.7784090909090909,0
2020-02-01,premium yearly,0,1,20,7.0,106.0,157,137.0,99.0,0.6305732484076433,0.7226277372262774,0.6751592356687898,0.7737226277372263,0
2020-02-01,pro,0,0,72,37.0,1240.0,1571,1499.0,1203.0,0.7657542966263526,0.8025350233488993,0.7893061744112031,0.8272181454302868,0
2020-02-01,pro,0,1,77,19.0,682.0,923,846.0,663.0,0.7183098591549296,0.7836879432624113,0.7388949079089924,0.806146572104019,0
2020-02-01,pro,1,0,0,0.0,50.0,63,63.0,50.0,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.7936507936507936,0
2020-02-01,pro,1,1,147,23.0,598.0,980,833.0,575.0,0.5867346938775511,0.6902761104441777,0.610204081632653,0.7178871548619448,0
2020-03-01,business,0,0,103,35.0,667.0,866,763.0,632.0,0.7297921478060047,0.8283093053735255,0.7702078521939953,0.8741808650065531,0
2020-03-01,business,0,1,58,7.0,257.0,362,304.0,250.0,0.6906077348066298,0.8223684210526315,0.7099447513812155,0.8453947368421053,0
2020-03-01,business,1,0,1,0.0,29.0,31,30.0,29.0,0.9354838709677419,0.9666666666666667,0.9354838709677419,0.9666666666666667,0
2020-03-01,business,1,1,87,17.0,167.0,309,222.0,150.0,0.4854368932038835,0.6756756756756757,0.540453074433657,0.7522522522522522,0
2020-03-01,other,0,0,13,12.0,183.0,244,231.0,171.0,0.7008196721311475,0.7402597402597403,0.75,0.7922077922077922,0
2020-03-01,other,0,1,31,18.0,217.0,294,263.0,199.0,0.6768707482993197,0.7566539923954373,0.7380952380952381,0.8250950570342205,0
2020-03-01,other,1,0,3,0.0,13.0,67,64.0,13.0,0.19402985074626866,0.203125,0.19402985074626866,0.203125,0
2020-03-01,other,1,1,30,0.0,35.0,290,260.0,35.0,0.1206896551724138,0.1346153846153846,0.1206896551724138,0.1346153846153846,0
2020-03-01,plus yearly,0,0,365,259.0,8006.0,10083,9718.0,7747.0,0.7683229197659427,0.7971804898127187,0.7940097193295647,0.823832064210743,0
2020-03-01,plus yearly,0,1,425,117.0,3038.0,4156,3731.0,2921.0,0.7028392685274302,0.7829000268024658,0.7309913378248316,0.8142589118198874,0
2020-03-01,plus yearly,1,0,9,5.0,175.0,273,264.0,170.0,0.6227106227106227,0.6439393939393939,0.6410256410256411,0.6628787878787878,0
2020-03-01,plus yearly,1,1,1005,209.0,3694.0,6814,5809.0,3485.0,0.5114470208394482,0.5999311413324152,0.5421191664220723,0.635909795145464,0
2020-03-01,premium yearly,0,0,424,56.0,1376.0,2095,1671.0,1320.0,0.630071599045346,0.7899461400359067,0.6568019093078759,0.8234590065828845,0
2020-03-01,premium yearly,0,1,191,31.0,495.0,789,598.0,464.0,0.5880861850443599,0.7759197324414716,0.6273764258555133,0.8277591973244147,0
2020-03-01,pro,0,0,275,120.0,3124.0,4075,3800.0,3004.0,0.7371779141104294,0.7905263157894736,0.7666257668711657,0.8221052631578948,0
2020-03-01,pro,0,1,231,42.0,1322.0,1825,1594.0,1280.0,0.7013698630136986,0.8030112923462986,0.7243835616438357,0.8293601003764115,0
